model,dataset,OA,AA,kappa
QHSA-Net,PaviaU,98.89891527959604,98.15894080576646,98.54029678682204
SSRN,PaviaU,99.90882737983917,99.80640516420709,99.87918894646035
DBDA,PaviaU,96.57518234524032,94.6437506218659,95.45688592840999
3D-CNN-Only,PaviaU,93.56181036095008,90.36876117056482,91.42409624247864
