config,OA,AA,kappa,train_time_s
A: 3D-CNN+PCA (baseline),96.48302553313073,93.89200685559089,95.3311076773354,388.5677378177643
B: MLP+PCA (joint),73.57074209719732,61.537010202916946,63.477225265683245,41.985127449035645
C: MLP-PCA+VQC-Raw (reversed),73.20190134808696,61.39440217796724,63.11787126933452,45.282681465148926
D: Shared-Enc (joint),70.13428920231695,56.982700991968855,58.58606734762781,47.65375733375549
