model,dataset,OA,AA,kappa
QHSA-Net,IndianPines,90.69177480729827,82.68475462437561,89.38140430530743
SSRN,IndianPines,98.81939701434285,96.31155808096602,98.65404941757822
DBDA,IndianPines,55.47858327641721,34.091014209185595,48.165088489862626
3D-CNN-Only,IndianPines,50.219533613035416,27.145973510382955,41.017529323759796
