model,dataset,OA,AA,kappa
QHSA-Net,Salinas,97.84773411664727,98.95572832926803,97.60402034723444
SSRN,Salinas,99.95935635241737,99.98010600844849,99.95474478414701
DBDA,Salinas,87.97687006964843,87.56358135158249,86.54583520843391
3D-CNN-Only,Salinas,86.63193482236878,85.97625764222175,85.05504388827646
